Gender,Event,Location,Year,Medal,Name,Nationality,Result,seconds,Population,GDP per Capita
W,100M Women,London,2012,S,Carmelita JETER,USA,10.78,0,321418820,56115.71843
W,200M Women,London,2012,G,Allyson FELIX,USA,21.88,0,321418820,56115.71843
W,200M Women,London,2012,B,Carmelita JETER,USA,22.14,0,321418820,56115.71843
W,400M Hurdles Women,London,2012,S,Lashinda DEMUS,USA,52.77,0,321418820,56115.71843
W,400M Women,London,2012,G,Sanya RICHARDS-ROSS,USA,49.55,0,321418820,56115.71843
W,400M Women,London,2012,B,DeeDee TROTTER,USA,49.72,0,321418820,56115.71843
W,4X100M Relay Women,London,2012,G,null,USA,40.82,0,321418820,56115.71843
W,4X400M Relay Women,London,2012,G,null,USA,03:16.9,0,321418820,56115.71843
W,High Jump Women,London,2012,S,Brigetta BARRETT,USA,2.03,0,321418820,56115.71843
W,Long Jump Women,London,2012,G,Brittney REESE,USA,7.12,0,321418820,56115.71843
W,Long Jump Women,London,2012,B,Janay DELOACH,USA,6.89,0,321418820,56115.71843
W,Pole Vault Women,London,2012,G,Jennifer SUHR,USA,4.75,0,321418820,56115.71843
